SMILES,Molecular_Weight,Polar_Area,Complexity,XLogP,Heavy_Atom_Count,H-Bond_Donor_Count,H-Bond_Acceptor_Count,Charge,Covalent_Unit_Count,es_natural
COC1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=C(C=C7)OC)C8=CC=C(C=C8)OC)C=C4)C9=CC=C(C=C9)OC)N3,734.8,94.3,1030,10.3,56,2,6,0,1,True
CC(C)(C)C1=CC2=CC3=C(C=C2C=C1)C4=NC5=NC(=NC6=C7C=C8C=C(C=CC8=CC7=C(N6)N=C9C1=C(C=C2C=CC(=CC2=C1)C(C)(C)C)C(=N9)N=C3N4)C(C)(C)C)C1=C5C=C2C=C(C=CC2=C1)C(C)(C)C,939.2,109.0,1790,18.5,72,2,6,0,1,True
CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].CC1=CC=C(C=C1)S(=O)(=O)[O-].C[N+]1=CC=C(C=C1)C2=C3C=CC(=C(C4=NC(=C(C5=CC=C(N5)C(=C6C=CC2=N6)C7=CC=[N+](C=C7)C)C8=CC=[N+](C=C8)C)C=C4)C9=CC=[N+](C=C9)C)N3,1363.6,335.0,1160,,96,2,14,0,5,True
CCCCCN\1C2=CC=CC=C2O/C1=C\C=C\C3=[N+](C4=CC=CC=C4O3)CCCCC.[I-],544.5,29.5,554,,32,0,4,0,2,True
CC1=C(N2C(=C(C(=O)N2C1=O)C)CCl)C,226.66,40.6,437,1.2,15,0,3,0,1,True
CNC1=CC=CC=C1C(=O)O[C@@H]2[C@H](O[C@H]([C@@H]2O)N3C=NC4=C(N=CN=C43)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O,640.3,297.0,1090,-2.9,41,7,19,0,1,True
COC1=CC2=C(C=C1)[N+](=CC=C2)CCCS(=O)(=O)[O-],281.33,78.7,365,1.4,19,0,4,0,1,True
C1=C(C2=NON=C2C(=C1)S(=O)(=O)O)F.N,235.2,103.0,316,,15,2,8,0,2,True
C1=CC=C2C(=C1)C(=O)C3=C(N2)C=CC(=C3)N,210.23,55.1,292,2.3,16,2,3,0,1,True
C1=C(C2=NON=C2C(=C1)S(=O)(=O)O)F,218.16,102.0,316,0.0,14,1,7,0,1,True
CCN(CC)C1=CC2=C(C=C1)C(=C(C(=O)O2)C3=CC=C(C=C3)N4C(=O)C=CC4=O)C,402.4,66.9,756,3.4,30,0,5,0,1,True
CN(CCOC(=O)CI)C1=CC=C(C2=NON=C12)[N+](=O)[O-],406.13,114.0,393,1.7,21,0,8,0,1,True
